commit	test_rmse	runtime_sec	status	description
99bf97d	12.083416	1149.34	keep	Iter2: per-node LSTM + GCN skip, K=5 physical, epochs=10
b3c96ad	12.054943	746.41	keep	Iter3: GAT 1-head + per-node LSTM + skip, K=5 physical, epochs=5
7936d9a	11.939847	953.01	keep	Iter4: GAT + correlation adjacency K=5, epochs=5
5d44064	11.989793	1399.65	discard	Iter5: 2-layer LSTM worse+slower; val_mse noisy, MAE jumped to 6.51
9941881	12.122498	1213.77	discard	Iter6: hidden=96 overfits (val_mse diverges epoch 4-5); hidden=64 is optimal
702f7b7	11.912427	2287.79	keep	Iter7: 10 epochs of Iter4 config — val_mse hits new floor 0.347 at epoch 7
4376f59	11.895854	2109.54	keep	Iter8: 2-layer GAT + correlation K=5, 10 epochs — RMSE +0.017, MAE +0.34
f6d32f8	12.083941	1372.61	tier1	Iter9: temporal-only ablation — per-node LSTM no graph; graph contributes only ~0.19 RMSE
799178f	11.941213	2010.54	tier1	Iter10: Iter7 config seed=1 — RMSE +0.029 vs seed=0; MAE swings 0.50 between seeds
2a46214	11.905019	1916.98	tier1	Iter11: Iter7 config seed=2 — 3-seed Iter7 = RMSE 11.920±0.019, MAE 5.94±0.27
